age,industry,job title,annual salary,bonus,country,years of experience,field years of experience,highest level of education,gender
2,"Accounting, Banking & Finance",Corporate Controller,132000.0,45000.0,USA,4,4,3.0,Man
5,Education (Higher Education),Enterprise Architect,183000.0,0.0,USA,6,6,4.0,Man
3,Retail,Data analyst ,84000.0,5000.0,USA,4,4,4.0,Woman
2,"Accounting, Banking & Finance",Communications Coordinator,41610.0,1095.0,CAN,1,1,3.0,Woman
4,Insurance,customer service rep/implementation manager,35360.0,1400.0,USA,5,1,4.0,Woman
2,Computing or Tech,Senior Product Manager - Technical,128000.0,102000.0,USA,3,1,3.0,Woman
3,Software,Project Manager,105000.0,10000.0,USA,4,1,3.0,Woman
4,Nonprofits,CEO,150000.0,15000.0,USA,5,5,3.0,Woman
2,Retail,Customer Service Representative,35000.0,600.0,USA,1,0,2.0,Man
2,Nonprofits,Director of Leadership and Talent Development Programs,85000.0,8500.0,USA,3,3,4.0,Woman
4,Engineering or Manufacturing,Senior Procurement Specialist ,79890.0,0.0,USA,5,4,3.0,Woman
3,Engineering or Manufacturing,Customer Service Manager ,100000.0,0.0,USA,4,1,3.0,Man
2,Computing or Tech,Senior - Attack & Pen Testing,129000.0,10000.0,USA,1,1,3.0,Prefer not to answer
1,Fundraising,Senior Coordinator,53000.0,2000.0,USA,1,1,3.0,Woman
2,Law,Associate attorney ,85000.0,10000.0,USA,3,2,5.0,Woman
2,Media & Digital,Sales Trainer,136000.0,20000.0,USA,3,2,3.0,Woman
2,Health care,Registered Nurse,72000.0,0.0,USA,2,2,3.0,Woman
2,Law,Senior paralegal,75000.0,1000.0,USA,2,1,4.0,Woman
3,"Accounting, Banking & Finance",Controller,175000.0,0.0,USA,4,4,3.0,Woman
2,"Marketing, Advertising & PR",Account Manager,44000.0,0.0,USA,1,1,3.0,Woman
2,Recruitment or HR,"Director, Operations & Research",67500.0,0.0,USA,3,3,4.0,Woman
3,Business or Consulting,Financial Risk Analyst,77380.0,14600.0,CAN,4,4,3.0,Woman
3,Health care,RN coordinator  ,90000.0,500.0,USA,4,7,3.0,Woman
5,Property or Construction,Assistant property manager,46000.0,0.0,USA,5,4,2.0,Woman
4,Education (Higher Education),Librarian,103000.0,103000.0,USA,4,4,4.0,Woman
2,Research/Social Science,Researcher,110000.0,0.0,USA,2,2,6.0,Woman
2,Computing or Tech,Software Developer,97000.0,13000.0,USA,2,2,3.0,Woman
2,Business or Consulting,Product Manager,74460.0,14600.0,CAN,0,1,2.0,Man
2,Media & Digital,Associate Producer,60000.0,0.0,USA,2,1,3.0,Woman
2,Health care,Content Marketing Manager,100000.0,12000.0,USA,4,3,3.0,Woman
2,Art & Design,Industrial Designer,75000.0,0.0,USA,2,2,3.0,Man
2,Health care,Virtual intake coordinator for mental health practices,37440.0,0.0,USA,4,3,3.0,Woman
3,Computing or Tech,Principal Project Manager,168067.0,78000.0,USA,4,4,4.0,Man
2,Business or Consulting,Lead Senior Associate,131000.0,10000.0,USA,3,3,3.0,Woman
3,"Accounting, Banking & Finance","SVP, Marketing & Communications",105000.0,15000.0,USA,4,4,3.0,Woman
2,Government and Public Administration,Health Equity / Public Health Manager,79000.0,0.0,USA,3,2,4.0,Woman
3,Computing or Tech,It project manager,102000.0,15000.0,USA,1,1,3.0,Woman
2,Computing or Tech,Systems Librarian,65600.0,0.0,USA,3,2,4.0,Man
3,Government and Public Administration,Analyst,117000.0,0.0,USA,5,5,4.0,Man
5,Computing or Tech,Software Engineer,145000.0,0.0,USA,7,7,3.0,Man
2,Nonprofits,Senior Program Officer,57500.0,1000.0,USA,2,2,3.0,Man
2,Computing or Tech,Product Manager,180000.0,0.0,USA,3,1,3.0,Woman
3,Education (Higher Education),academic librarian ,60000.0,0.0,USA,3,3,4.0,Woman
4,Education (Higher Education),Assistant VP of Information Technology,172000.0,0.0,USA,5,5,4.0,Man
2,Nonprofits,Network Manager,81400.0,0.0,USA,3,1,4.0,Woman
2,Research (health),Research Associate,54020.0,0.0,CAN,2,2,4.0,Woman
3,Sales,Sales Associate,45000.0,0.0,USA,4,3,3.0,Man
5,Computing or Tech,Sr. Software Engineer,150000.0,0.0,USA,7,7,3.0,Man
4,Library,Library Assistant,40150.0,0.0,CAN,4,2,6.0,Woman
2,Law,Legal Assistant,50000.0,0.0,USA,1,1,3.0,Woman
4,"Marketing, Advertising & PR",Project Manager,62000.0,0.0,USA,4,1,6.0,Woman
2,Government and Public Administration,Intelligence Analyst,114000.0,0.0,USA,3,3,3.0,Woman
2,Computing or Tech,Software Developer,110000.0,9500.0,USA,1,1,3.0,Woman
2,Retail,Sr Logistics Manager,96000.0,0.0,USA,4,2,3.0,Woman
3,"Marketing, Advertising & PR",Junior Copywriter,82000.0,0.0,USA,4,1,3.0,Woman
2,Nonprofits,Marketing manager,87000.0,0.0,USA,3,3,4.0,Woman
2,Government and Public Administration,Program Office,56697.64,0.0,CAN,2,2,4.0,Prefer not to answer
2,Education (Higher Education),Instructional Designer,65000.0,0.0,USA,3,2,4.0,Woman
2,Sales,Sales Enablement Manager,105000.0,0.0,USA,2,0,3.0,Man
2,Engineering or Manufacturing,Electrical Engineer,100700.0,20000.0,USA,3,3,4.0,Woman
2,Computing or Tech,Customer Success Manager,97500.0,14625.0,USA,2,1,4.0,Woman
2,Utilities & Telecommunications,Product Manager,56575.0,5840.0,CAN,1,1,3.0,Woman
3,Computing or Tech,"Senior Manager, Software Development",105120.0,13140.0,CAN,3,3,6.0,Man
2,Engineering or Manufacturing,Plumbing Engineer,90000.0,1500.0,USA,3,3,3.0,Woman
3,Nonprofits,Senior Project Manager,93000.0,4000.0,USA,3,3,4.0,Man
3,Computing or Tech,Senior Engineering Director,120450.0,10950.0,CAN,4,3,3.0,Man
2,Nonprofits,Conference Manager,52000.0,0.0,USA,2,2,3.0,Woman
3,Nonprofits,Manager,58000.0,0.0,USA,2,2,4.0,Woman
3,Affordable Housing Real Estate Development (nonprofit),Senior Project Manager,144200.0,14420.0,USA,4,4,4.0,Woman
3,Science,Lab Director,160000.0,0.0,USA,5,5,6.0,Woman
3,Sales,Sales Representative,65000.0,6500.0,USA,4,0,2.0,Man
3,Computing or Tech,Senior System Administrator ,100000.0,0.0,USA,4,2,4.0,Woman
4,Nonprofits,Executive Director ,111500.0,3000.0,USA,5,4,4.0,Woman
2,Retail,Tech Consultant,25000.0,0.0,USA,2,2,2.0,Woman
2,"Marketing, Advertising & PR",Digital Strategist ,70000.0,3500.0,USA,1,0,3.0,Woman
3,Computing or Tech,Engineering manager ,84000.0,0.0,URY,4,4,3.0,Man
1,Computing or Tech,Product Manager,60000.0,5000.0,USA,1,1,3.0,Man
3,Public Library ,Head of Youth Services,63000.0,300.0,USA,4,4,4.0,Woman
3,e-comm,Director of Customer Experience,115000.0,0.0,USA,4,4,3.0,Woman
2,Computing or Tech,Staff Software Engineer,149000.0,10000.0,USA,4,4,2.0,Man
3,Nonprofits,Foundation Executive Director,87010.0,1000.0,USA,4,2,4.0,Woman
3,Health care,Veterinary Technician,32000.0,0.0,USA,3,3,3.0,Woman
3,Nonprofits,Chief External Affairs Officer,85000.0,2500.0,USA,5,4,3.0,Woman
3,Computing or Tech,"Director, Marketing",113150.0,0.0,CAN,4,4,3.0,Woman
2,Engineering or Manufacturing,Associate Project Manager,89700.0,1500.0,USA,2,2,3.0,Man
3,Law,Associate general counsel ,150000.0,5000.0,USA,3,3,5.0,Woman
3,Government and Public Administration,Project manager,88000.0,0.0,USA,4,4,4.0,Woman
2,Computing or Tech,HR Operations & Strategy,122000.0,12200.0,USA,1,1,3.0,Woman
3,Computing or Tech,Support engineer,123000.0,0.0,USA,3,2,3.0,Man
3,Utilities & Telecommunications,Controller,73000.0,0.0,CAN,4,4,4.0,Man
3,Energy,"IT Manager, Service Desk and Deskside Support",107000.0,20000.0,USA,3,2,3.0,Woman
1,Computing or Tech,Software Engineer,111200.0,3000.0,USA,1,1,4.0,Woman
3,Media & Digital,User Experience and Engagement Manager,73000.0,0.0,USA,3,2,3.0,Man
3,Computing or Tech,Consultant,165000.0,25000.0,USA,5,5,4.0,Man
2,Law,Associate Lawyer,115340.0,10950.0,CAN,3,2,5.0,Woman
2,Social Work,Program Services Coordinator,49000.0,200.0,USA,2,2,4.0,Woman
5,Health care,Operations Manager,130000.0,0.0,USA,4,5,2.0,Man
3,Computing or Tech,Infrastructure Specialist,68220.0,1300.0,USA,4,4,3.0,Woman
5,Computing or Tech,Vice President Engineering,150000.0,10000.0,USA,6,6,3.0,Man
2,Computing or Tech,Senior Consultant,123000.0,147000.0,USA,3,3,1.0,Man
3,Computing or Tech,Director of Engineering,150000.0,0.0,USA,4,4,3.0,Man
3,Libraries,Teen Librarian,53274.0,0.0,USA,4,2,4.0,Man
4,"Accounting, Banking & Finance",Senior Accountant,70000.0,0.0,USA,4,4,3.0,Woman
1,Education (Higher Education),Doctoral Researcher,27000.0,34000.0,USA,1,1,4.0,Woman
1,Computing or Tech,Software Developer,127000.0,5500.0,USA,1,1,4.0,Man
1,Education (Higher Education),Quality Assurance Auditor,2400.0,1000.0,PAK,1,1,2.0,Man
2,Computing or Tech,Sr Support Engineer,137000.0,0.0,USA,3,3,3.0,Man
3,Entertainment,Risk consultant,131000.0,0.0,AUS,4,4,4.0,Woman
3,Computing or Tech,Principal Product Manager,160000.0,220000.0,USA,4,4,3.0,Man
3,Computing or Tech,Senior Software Engineer,180000.0,0.0,USA,5,4,2.0,Man
3,Computing or Tech,Data Engineer,160000.0,20000.0,USA,4,4,3.0,Prefer not to answer
1,Food Service,Line Server,21000.0,0.0,USA,1,6,2.0,Prefer not to answer
3,Computing or Tech,International tax,176000.0,45000.0,USA,4,4,4.0,Man
4,Computing or Tech,IT Manager ,123050.0,0.0,DEU,5,5,4.0,Man
2,"Marketing, Advertising & PR",Customer service supervisor ,48000.0,0.0,USA,2,2,3.0,Woman
3,Computing or Tech,Solutions Architect,185000.0,100000.0,USA,4,4,4.0,Man
3,Government and Public Administration,Business Analyst,87000.0,0.0,USA,4,4,3.0,Woman
2,Computing or Tech,Senior Software Engineer,149600.0,0.0,USA,2,2,3.0,Woman
3,Government and Public Administration,Procurement Associate,33534.0,0.0,USA,2,2,3.0,Woman
2,Nonprofits,Digital Marketing Manager,75000.0,0.0,USA,2,2,3.0,Woman
3,Wholesale textile manufacture and sales,Receptionist,38000.0,0.0,USA,4,4,2.0,Woman
3,Engineering or Manufacturing,Senior Engineer,130000.0,0.0,USA,4,4,4.0,Man
2,Biotech,Administrative & Operations Manager ,120000.0,15000.0,USA,4,2,1.0,Woman
2,Computing or Tech,Customer Success Manager,53300.0,3250.0,AUS,1,1,3.0,Woman
3,Education (Primary/Secondary),Teacher,72000.0,0.0,USA,5,5,4.0,Woman
3,"Marketing, Advertising & PR",Marketing Director,105000.0,7000.0,USA,4,4,3.0,Woman
2,Computing or Tech,Senior Software Engineer,118000.0,0.0,USA,2,2,3.0,Prefer not to answer
3,Computing or Tech,Chief Technology Officer,172000.0,0.0,USA,4,4,3.0,Man
2,Computing or Tech,Staff Software Engineer,135200.0,0.0,BRA,2,2,3.0,Man
4,Media & Digital,Content Manager,54080.0,2000.0,USA,5,3,4.0,Woman
3,Computing or Tech,Programmer,71000.0,0.0,USA,1,1,3.0,Man
2,Computing or Tech,Software Engineer,160000.0,0.0,USA,1,1,3.0,Man
3,Computing or Tech,Senior Frontend Engineer,145000.0,0.0,USA,4,3,2.0,Man
4,Health care,Registered Dietitian,77000.0,0.0,USA,5,5,3.0,Woman
2,Computing or Tech,Senior Front-End Engineer,160000.0,20000.0,USA,2,2,4.0,Man
2,Nonprofits,Data Analyst ,40000.0,0.0,USA,2,1,4.0,Woman
3,Government and Public Administration,Intelligence Analyst 1 - Information Systems,89600.0,0.0,USA,4,3,4.0,Man
2,"Accounting, Banking & Finance",Assurance senior,61000.0,12000.0,USA,2,1,3.0,Woman
2,Computing or Tech,Software Developer,175000.0,195000.0,USA,3,2,1.0,Man
4,Insurance,Security Engineer,115000.0,10000.0,USA,5,2,1.0,Man
2,Computing or Tech,Engineering Manager,145000.0,0.0,GBR,4,4,2.0,Man
3,Computing or Tech,Data Engineer,162000.0,8800.0,USA,3,1,3.0,Man
4,"Marketing, Advertising & PR",PR Manager,90000.0,1500.0,USA,5,5,3.0,Man
3,Computing or Tech,DevOps Engineer,160000.0,12000.0,USA,4,3,3.0,Man
2,Health care,Registered Nurse,80000.0,20000.0,USA,1,1,3.0,Man
2,Computing or Tech,Sr. Engineer,175000.0,0.0,USA,4,4,2.0,Man
1,Computing or Tech,Software Engineer,113000.0,5000.0,USA,1,1,3.0,Man
4,Sales,Inside Account Representative ,93000.0,39000.0,USA,5,3,2.0,Woman
3,Computing or Tech,User Experience Researcher III,103500.0,5175.0,USA,3,2,4.0,Woman
2,Health care,Medical Credentialing Specialist,35500.0,0.0,USA,3,2,3.0,Woman
3,Computing or Tech,Staff Engineer ,175000.0,17500.0,USA,4,4,3.0,Woman
3,Nonprofits,Social Worker,122500.0,0.0,USA,4,3,4.0,Woman
3,Computing or Tech,Enterprise account executive,150000.0,150000.0,USA,4,4,3.0,Man
2,Nonprofits,Deputy Director Organizing ,91000.0,0.0,USA,3,3,3.0,Woman
2,Education (Primary/Secondary),High School Science Teacher,42819.0,0.0,USA,4,4,3.0,Woman
3,Government and Public Administration,Human Resources Director ,92000.0,0.0,USA,4,4,4.0,Woman
3,Education (Primary/Secondary),Teacher,62000.0,2000.0,USA,4,4,6.0,Man
3,Computing or Tech,Web Developer,120000.0,2750.0,USA,4,4,3.0,Man
5,Health care,Executive Assistant ,62000.0,0.0,USA,6,6,1.0,Woman
4,Education (Higher Education),Business Manager,85000.0,0.0,USA,5,4,4.0,Man
3,Law,Secretary,35360.0,0.0,USA,4,3,2.0,Woman
2,Art & Design,UX Designer,83200.0,0.0,USA,1,1,4.0,Woman
3,Computing or Tech,senior software engineer ,163000.0,80000.0,USA,3,3,4.0,Prefer not to answer
2,Nonprofits,Senior Project Manager,79500.0,0.0,USA,3,3,4.0,Woman
3,Libraries,Children's Supervisor,65000.0,0.0,USA,3,3,4.0,Woman
3,Computing or Tech,Sr. Technical account manager,130000.0,60000.0,USA,5,5,2.0,Man
3,Nonprofits,Development Director,165000.0,0.0,USA,4,4,3.0,Woman
2,Health care,Data Scientist,92500.0,0.0,USA,2,1,4.0,Woman
2,"Marketing, Advertising & PR",Senior Program Manager,116000.0,11600.0,USA,4,4,3.0,Man
2,"Marketing, Advertising & PR",Lead content strategist,80000.0,5000.0,USA,2,1,3.0,Woman
3,Computing or Tech,Senior UX Designer ,143000.0,0.0,USA,4,4,4.0,Man
2,"Marketing, Advertising & PR",Creative Director,108000.0,0.0,USA,3,3,3.0,Man
4,Education (Higher Education),professor,150000.0,0.0,USA,5,5,6.0,Man
2,Nonprofits,project manager,80000.0,1000.0,USA,4,1,3.0,Woman
2,Computing or Tech,Associate Solutions Architect,105000.0,30000.0,USA,1,0,3.0,Man
2,Government and Public Administration,Operations Research Analyst,155000.0,0.0,USA,3,3,4.0,Woman
2,Government and Public Administration,Asylum Officer,93000.0,1000.0,USA,2,2,5.0,Woman
2,Computing or Tech,Software Engineer,105000.0,0.0,USA,4,3,2.0,Man
2,Sales Operations ,Sales Operations Coordinator,55000.0,0.0,USA,4,2,2.0,Woman
2,Publishing,Acquisitions Editor,53600.0,0.0,USA,3,3,4.0,Woman
3,Nonprofits,Project director ,93000.0,0.0,USA,4,3,4.0,Woman
2,Natural resources,Conservation Coordinator,56997.0,0.0,USA,2,1,4.0,Woman
3,Government and Public Administration,Supervisory IT Specialist,124428.0,3500.0,USA,4,4,4.0,Man
2,Computing or Tech,Lead Consultant - Software Development ,135000.0,5000.0,USA,2,2,3.0,Man
2,Computing or Tech,DevOps Engineer,90300.0,0.0,USA,3,3,3.0,Man
2,Health care,Biostatistician I,90000.0,10000.0,USA,1,0,4.0,Woman
3,Government and Public Administration,Director,135000.0,5000.0,USA,4,4,4.0,Woman
2,Utilities & Telecommunications,Sr. Data Scientist,107100.0,16000.0,USA,1,2,6.0,Man
4,Computing or Tech,Front-End Developer,135000.0,0.0,USA,5,5,2.0,Man
3,Engineering or Manufacturing,Systems Engineer I,62050.0,6205.0,CAN,2,1,3.0,Woman
4,Computing or Tech,Senior Software Engineer,100000.0,1500.0,USA,1,1,3.0,Man
2,Engineering or Manufacturing,Industrial engineer ,107000.0,20000.0,USA,2,2,4.0,Woman
2,Hospitality & Events,General Manager,52200.0,1000.0,USA,2,2,1.0,Woman
2,Library,Library Assistant I,21000.0,0.0,USA,1,1,3.0,Woman
2,Property or Construction,"Project Manager, Real Estate Development",76000.0,0.0,USA,3,1,4.0,Woman
3,Education (Higher Education),Systems Administrator,103000.0,0.0,USA,4,4,3.0,Man
2,Government and Public Administration,Staff Accountant,84448.0,0.0,USA,4,3,3.0,Woman
3,Computing or Tech,Sr software engineer,128000.0,0.0,USA,5,5,4.0,Man
2,Computing or Tech,Program Manager,134500.0,300000.0,USA,2,2,3.0,Man
3,Education (Primary/Secondary),Math Teacher,45000.0,0.0,USA,4,4,4.0,Man
4,Education (Primary/Secondary),Teacher,91000.0,0.0,USA,5,5,6.0,Man
1,Engineering or Manufacturing,Post-Grad Intern,76000.0,5000.0,USA,1,1,3.0,Woman
1,Nonprofits,Program Assistant,33280.0,0.0,USA,1,1,2.0,Woman
3,Computing or Tech,System Security Officer (SSO),150000.0,1500.0,USA,4,4,3.0,Woman
3,Computing or Tech, Customer Solutions Manager,170000.0,0.0,USA,4,4,1.0,Man
3,Computing or Tech,Services Manager,177000.0,0.0,USA,4,4,4.0,Man
2,Engineering or Manufacturing,Senior Electrical Engineer,165000.0,0.0,USA,2,2,3.0,Woman
2,Computing or Tech,Software Engineer 3,113000.0,6000.0,USA,4,4,3.0,Man
2,Transport or Logistics,Administration ,55000.0,0.0,USA,2,2,1.0,Woman
2,Health care,Credentialing Coordinator,36500.0,0.0,CAN,2,1,2.0,Woman
4,Computing or Tech,Senior Developer,108550.0,20800.0,AUS,5,5,3.0,Man
2,Computing or Tech,Senior Software Engineer II,173000.0,0.0,USA,3,3,3.0,Man
3,Computing or Tech,Director of Engineering,175000.0,25000.0,USA,4,4,3.0,Man
2,Computing or Tech,Senior Security Engineer,143000.0,4000.0,USA,3,3,3.0,Man
4,Government and Public Administration,Executive Director,155000.0,1000.0,USA,5,4,4.0,Woman
2,Retail,Office Manager,38480.0,26520.0,USA,4,4,1.0,Woman
2,Art & Design,Production manager,85000.0,0.0,USA,3,2,4.0,Woman
2,Nonprofits,Affordable Housing Manager,67000.0,0.0,USA,3,2,4.0,Woman
3,Education (Higher Education),Associste professor and department chair,56000.0,1500.0,USA,4,2,4.0,Woman
3,Computing or Tech,Software engineer,105000.0,0.0,USA,3,0,3.0,Woman
2,Computing or Tech,Senior Software Engineer,115000.0,12000.0,USA,1,1,3.0,Man
1,Computing or Tech,Support Analyst,45000.0,45000.0,USA,0,1,3.0,Man
3,Business or Consulting,Project Manager,105000.0,40000.0,USA,4,3,4.0,Woman
3,Government and Public Administration,IT Project Manager,70810.0,0.0,CAN,4,4,4.0,Man
3,Per Sitter,Pet Sitter,43800.0,1000.0,USA,3,3,3.0,Woman
2,Retail,Senior Accountant ,87000.0,8700.0,USA,3,3,3.0,Woman
3,Engineering or Manufacturing,Compliance Manager,114500.0,2500.0,USA,4,3,3.0,Man
3,Education (Higher Education),Assistant Director of HR,82000.0,0.0,USA,4,2,4.0,Woman
4,Computing or Tech,Developer Team Lead,120000.0,0.0,USA,5,5,4.0,Man
2,Engineering or Manufacturing,Project Engineer,92000.0,1500.0,USA,2,1,4.0,Woman
3,"Accounting, Banking & Finance",Mortgage Loan Processor/Underwriter,62088.0,60000.0,USA,4,4,3.0,Woman
3,Computing or Tech,Principal Site Reliability Developer ,169000.0,70000.0,USA,4,4,3.0,Man
2,Health care,Associate Digital Implementation Manager,92000.0,3680.0,USA,3,3,3.0,Woman
2,Nonprofits,Policy Analyst,64000.0,0.0,USA,2,4,3.0,Woman
2,Recruitment or HR,Administrative Coordinator,44000.0,0.0,USA,0,0,2.0,Man
3,Law,Lawyer,175000.0,0.0,USA,4,4,5.0,Woman
2,Business or Consulting,Business manager,52000.0,0.0,USA,4,1,4.0,Woman
2,Computing or Tech,Software Engineer,115000.0,0.0,CAN,2,2,4.0,Woman
3,Insurance,Customer Service Director ,140000.0,35000.0,USA,4,4,4.0,Man
2,Engineering or Manufacturing,Engineering Supervisor,155000.0,0.0,USA,3,3,3.0,Woman
3,Pension Benefit Administration,Staff Specialist,72000.0,0.0,USA,4,4,2.0,Man
1,Nonprofits,Accounting Associate,45000.0,2000.0,USA,0,0,3.0,Woman
2,Health care,Registered Dietitian,58000.0,0.0,USA,1,1,4.0,Woman
2,Computing or Tech,Software Engineer,180000.0,120000.0,USA,2,2,3.0,Woman
3,Nonprofits,Executive Director,88000.0,0.0,USA,4,4,4.0,Woman
5,Media & Digital,Social media producer,20000.0,0.0,USA,5,2,3.0,Prefer not to answer
3,Government and Public Administration,Principal Planner,81000.0,0.0,USA,4,4,6.0,Man
2,Computing or Tech,Senior Software Engineer,160000.0,0.0,USA,3,3,4.0,Man
2,"Accounting, Banking & Finance",Senior Financial Analyst,105000.0,10000.0,USA,3,3,3.0,Woman
3,Health care,Database Administrator,53727.27,0.0,CAN,4,3,1.0,Woman
4,Nonprofits,Revenue Specialist,37114.0,0.0,USA,5,4,2.0,Woman
2,Art & Design,Digital Designer,46200.0,0.0,USA,1,1,3.0,Woman
2,Art & Design,Writer,68000.0,0.0,USA,3,2,4.0,Woman
3,Insurance,Contract Writer,43800.0,0.0,CAN,4,2,3.0,Man
1,Retail,Sales Leader,30000.0,0.0,USA,1,1,3.0,Woman
2,Engineering or Manufacturing,Project Manager,85000.0,0.0,USA,2,2,3.0,Woman
3,Lab Science (Biotech),Scientist II,83200.0,0.0,USA,4,3,4.0,Man
2,Retail,Store Manager,66000.0,0.0,USA,3,3,3.0,Man
2,Computing or Tech,Senior Data Scientist,94000.0,0.0,USA,3,3,3.0,Man
2,Social Work,Case Manager,48000.0,200.0,USA,1,1,4.0,Prefer not to answer
1,Computing or Tech,Software Engineer,135000.0,27000.0,USA,0,0,3.0,Woman
2,"Marketing, Advertising & PR",Pay per click manager,75000.0,0.0,USA,3,2,3.0,Prefer not to answer
2,Computing or Tech,Senior Software Development Manager,131400.0,0.0,CAN,4,4,3.0,Man
3,"Marketing, Advertising & PR",Media Director,133000.0,0.0,USA,4,4,4.0,Woman
2,Transport or Logistics,Business Analyst,78237.25,0.0,AUS,2,2,3.0,Woman
2,Computing or Tech,Product Manager,54750.0,0.0,CAN,2,1,4.0,Woman
2,Computing or Tech,Software Engineer,170400.0,15000.0,USA,2,2,3.0,Man
2,Law,Business development manager,127500.0,6000.0,USA,3,3,3.0,Woman
3,Engineering or Manufacturing,Drafter,36500.0,0.0,CAN,5,2,2.0,Woman
2,Government and Public Administration,Technical Writer,48000.0,0.0,USA,4,3,3.0,Woman
3,Law,Judicial Law Clerk,62000.0,0.0,USA,4,4,5.0,Woman
4,Art & Design,creative director,79132.0,8000.0,USA,5,5,3.0,Woman
2,Law,Associate,47450.0,2190.0,CAN,2,2,5.0,Man
2,Health care,Contracting manager ,68000.0,68000.0,USA,3,2,4.0,Woman
4,Computing or Tech,solutions architect,120000.0,0.0,USA,4,3,3.0,Man
1,Property or Construction,Project engineer ,66000.0,5000.0,USA,0,0,3.0,Woman
2,Nonprofits,Development and Communications Manager,50000.0,0.0,USA,2,1,3.0,Woman
2,Wholesale,Quality Assurance ,69000.0,3000.0,USA,3,3,3.0,Woman
3,Nonprofits,Coordinator of Special Projects,54000.0,0.0,USA,4,4,4.0,Woman
2,Education (Higher Education),Research Analyst,62000.0,0.0,USA,1,1,4.0,Prefer not to answer
2,Government and Public Administration,Scheduling Officsd,41610.0,0.0,CAN,2,1,2.0,Prefer not to answer
4,Education (Primary/Secondary),Human Resources ,57000.0,0.0,USA,5,5,3.0,Woman
3,Computing or Tech,"Partner, Support Lead",180000.0,0.0,USA,5,5,3.0,Woman
4,Horticulture,Greenhouse and Nursery Manager,37440.0,0.0,USA,4,3,3.0,Woman
2,Health care,Analytics manager,105000.0,12000.0,USA,2,2,4.0,Woman
2,"Accounting, Banking & Finance",Lead Web Engineer,140000.0,20000.0,USA,3,3,3.0,Woman
2,"Accounting, Banking & Finance",Controller ,140000.0,0.0,USA,3,3,4.0,Woman
2,Computing or Tech,Senior manager,167000.0,12000.0,UNK,3,3,4.0,Man
4,Nonprofits,Communications Consultant ,78000.0,0.0,USA,5,5,3.0,Woman
1,Education (Higher Education),research,40000.0,0.0,USA,1,1,3.0,Man
3,Computing or Tech,Senior Product Manager,150000.0,75000.0,USA,4,2,4.0,Prefer not to answer
4,Supply Chain!,Senior Supply Chain Specialist,144656.0,21700.0,USA,5,5,3.0,Woman
4,Government and Public Administration,IT Director,85000.0,0.0,USA,6,5,4.0,Man
3,"Accounting, Banking & Finance",Contract Manager,105000.0,15000.0,USA,4,1,5.0,Man
3,Computing or Tech,Software Quality Assurance Analyst II,85000.0,0.0,USA,4,2,4.0,Woman
2,Public Library,Librarian / Assistant Branch Manager,44714.0,0.0,USA,2,2,4.0,Woman
2,Nonprofits,Executive Coordinator,55000.0,3000.0,USA,3,2,3.0,Woman
2,Government and Public Administration,Senior Advisor,71540.0,16060.0,CAN,3,3,4.0,Woman
2,Computing or Tech,AWS Solutions Architect,175000.0,50000.0,USA,3,1,4.0,Man
1,Engineering or Manufacturing,Software developer,100000.0,0.0,USA,1,1,3.0,Man
2,Government and Public Administration,Librarian,62000.0,0.0,USA,3,2,4.0,Woman
3,Computing or Tech,Site Reliability Engineer,84500.0,6500.0,AUS,3,3,3.0,Man
3,"Accounting, Banking & Finance",Senior Systems Engineer,125000.0,10000.0,USA,4,4,3.0,Man
3,Computing or Tech,Product owner ,175000.0,20000.0,USA,5,5,4.0,Man
2,Insurance,Benefits Analyst,60000.0,2500.0,USA,2,2,3.0,Man
3,Computing or Tech,Program manager,105300.0,45500.0,AUS,4,4,4.0,Man
2,Computing or Tech,Programmer,67000.0,4000.0,USA,2,1,2.0,Man
2,Nonprofits,Community Impact Lead,47840.0,1435.0,USA,2,2,4.0,Prefer not to answer
3,Engineering or Manufacturing,Senior Engineer,110000.0,13000.0,USA,4,4,4.0,Woman
3,Research - academic,Research Assistant Professor,66000.0,0.0,USA,3,3,6.0,Woman
3,"Accounting, Banking & Finance",Compliance Analyst,78000.0,0.0,USA,4,2,4.0,Woman
3,Sales,Account Executive - Technology Sales,150000.0,100000.0,USA,4,3,3.0,Man
4,Computing or Tech,Software Developer,110000.0,23500.0,USA,5,5,3.0,Man
4,Computing or Tech,cloud engineer,55000.0,0.0,SGP,5,3,3.0,Woman
2,Computing or Tech,Senior technical product manager,160000.0,0.0,USA,3,3,3.0,Prefer not to answer
3,Education (Higher Education),Academic Librarian,55000.0,0.0,USA,3,2,4.0,Woman
1,Education (Higher Education),Process Engineer ,82500.0,5000.0,USA,0,0,3.0,Woman
1,"Accounting, Banking & Finance",Modeler,91000.0,4000.0,USA,1,1,3.0,Man
3,"Accounting, Banking & Finance",Business Operations Manager,55250.0,0.0,AUS,4,4,3.0,Woman
2,Education (Higher Education),"Associate Director, Alumni Relations",77000.0,0.0,USA,2,2,3.0,Woman
3,Nonprofits,Grant Writer and Communications,85000.0,0.0,USA,5,4,4.0,Woman
3,Education (Higher Education),Wsib specialist,48559.6,0.0,CAN,4,3,3.0,Woman
1,Computing or Tech,Business solutions analyst,63000.0,600.0,USA,1,1,3.0,Woman
2,Computing or Tech,Customer Support Specialist,54600.0,0.0,USA,3,1,3.0,Woman
